order_id,customer_id,order_value,product_category,return_ratio,returns_velocity_30d,days_since_purchase,payment_method,is_fraud
ORD-00000001,CUST-03544,365.171,Clothing,0.132,0,1,Credit Card,0
ORD-00000002,CUST-04586,79.53399999999999,Electronics,0.146,3,9,Credit Card,0
ORD-00000003,CUST-05721,277.50649999999996,Clothing,0.136,1,13,Debit Card,0
ORD-00000004,CUST-05036,176.272,Electronics,0.181,1,2,Credit Card,0
ORD-00000005,CUST-02803,127.75349999999999,Electronics,0.396,0,12,Credit Card,0
ORD-00000006,CUST-09762,121.15249999999999,Clothing,0.416,0,10,Debit Card,0
ORD-00000007,CUST-01743,41.3655,Clothing,0.091,0,15,Gift Card,0
ORD-00000008,CUST-06964,305.9575,Home & Garden,0.119,0,17,Credit Card,0
ORD-00000009,CUST-00845,350.934,Home & Garden,0.053,0,3,Debit Card,0
ORD-00000010,CUST-01689,320.48199999999997,Toys,0.116,0,2,PayPal,0
ORD-00000011,CUST-06452,126.08599999999998,Clothing,0.151,1,15,Debit Card,0
ORD-00000012,CUST-03266,118.70299999999999,Home & Garden,0.257,0,11,PayPal,0
ORD-00000013,CUST-08822,71.4495,Clothing,0.137,0,1,Credit Card,0
ORD-00000014,CUST-04642,139.8975,Clothing,0.147,0,10,Gift Card,0
ORD-00000015,CUST-04065,39.858999999999995,Home & Garden,0.153,2,3,PayPal,0
ORD-00000016,CUST-03747,225.82549999999998,Clothing,0.127,2,4,Credit Card,0
ORD-00000017,CUST-03507,47.98949999999999,Beauty,0.141,0,7,Credit Card,0
ORD-00000018,CUST-06584,159.9075,Electronics,0.261,0,22,Credit Card,0
ORD-00000019,CUST-08780,493.5224999999999,Clothing,0.269,0,1,Debit Card,0
ORD-00000020,CUST-03107,241.914,Toys,0.018,0,1,Debit Card,0
ORD-00000021,CUST-04418,230.1035,Clothing,0.107,0,8,Credit Card,0
ORD-00000022,CUST-03828,155.388,Electronics,0.29,0,1,Debit Card,0
ORD-00000023,CUST-05862,169.694,Electronics,0.16,0,36,Credit Card,0
ORD-00000024,CUST-01845,23.839499999999997,Clothing,0.17,0,1,Credit Card,0
ORD-00000025,CUST-09302,117.9785,Clothing,0.087,1,5,Credit Card,0
ORD-00000026,CUST-03856,156.3885,Clothing,0.106,2,5,Debit Card,1
ORD-00000027,CUST-01453,14.9385,Home & Garden,0.335,0,3,Debit Card,0
ORD-00000028,CUST-04682,115.5175,Clothing,0.065,1,1,Debit Card,0
ORD-00000029,CUST-04389,104.48899999999999,Clothing,0.299,0,10,Credit Card,0
ORD-00000030,CUST-04305,274.8385,Electronics,0.171,1,15,Credit Card,0
ORD-00000031,CUST-04815,69.13799999999999,Clothing,0.076,0,3,Credit Card,0
ORD-00000032,CUST-06188,49.070499999999996,Clothing,0.156,0,13,PayPal,0
ORD-00000033,CUST-07144,81.88,Beauty,0.277,0,17,PayPal,0
ORD-00000034,CUST-07417,147.8325,Clothing,0.097,0,27,Credit Card,0
ORD-00000035,CUST-01311,224.41099999999997,Clothing,0.08,0,9,Debit Card,0
ORD-00000036,CUST-06743,89.21699999999998,Electronics,0.197,0,4,Debit Card,0
ORD-00000037,CUST-05279,44.068,Home & Garden,0.439,0,14,Debit Card,0
ORD-00000038,CUST-00557,179.85999999999999,Clothing,0.578,2,5,Credit Card,0
ORD-00000039,CUST-07653,41.6875,Clothing,0.034,0,11,Credit Card,0
ORD-00000040,CUST-02994,23.345,Toys,0.085,1,18,Credit Card,0
ORD-00000041,CUST-03530,79.66049999999998,Clothing,0.325,0,8,PayPal,0
ORD-00000042,CUST-06696,210.404,Electronics,0.101,0,9,Credit Card,0
ORD-00000043,CUST-06750,114.28699999999999,Clothing,0.143,0,10,Credit Card,0
ORD-00000044,CUST-07195,149.316,Electronics,0.231,0,12,Credit Card,0
ORD-00000045,CUST-07272,96.84149999999998,Clothing,0.11,0,3,Debit Card,0
ORD-00000046,CUST-03915,189.74999999999997,Beauty,0.197,0,17,Credit Card,0
ORD-00000047,CUST-01529,361.376,Clothing,0.03,0,16,PayPal,0
ORD-00000048,CUST-07283,54.4295,Clothing,0.077,0,11,PayPal,0
ORD-00000049,CUST-04243,139.357,Clothing,0.168,0,1,PayPal,0
ORD-00000050,CUST-01842,78.56799999999998,Clothing,0.099,1,7,Credit Card,0
ORD-00000051,CUST-05565,35.6615,Clothing,0.157,0,14,Credit Card,0
ORD-00000052,CUST-03943,54.1995,Electronics,0.404,0,13,Debit Card,0
ORD-00000053,CUST-03093,91.1835,Electronics,0.115,0,14,PayPal,0
ORD-00000054,CUST-07542,145.9005,Electronics,0.242,1,17,Debit Card,0
ORD-00000055,CUST-05599,283.37149999999997,Toys,0.041,1,17,Credit Card,0
ORD-00000056,CUST-06307,253.32199999999997,Electronics,0.176,0,15,Credit Card,0
ORD-00000057,CUST-09574,112.8725,Electronics,0.086,3,1,Credit Card,0
ORD-00000058,CUST-03590,42.3315,Beauty,0.62,0,3,PayPal,0
ORD-00000059,CUST-09213,213.52049999999997,Beauty,0.096,0,1,Debit Card,0
