order_id,customer_id,order_value,product_category,return_ratio,returns_velocity_30d,days_since_purchase,payment_method,is_fraud
ORD-00000001,CUST-09620,377.86,Electronics,0.199,0,28,Debit Card,0
ORD-00000002,CUST-03972,20.05,Clothing,0.136,1,3,PayPal,0
ORD-00000003,CUST-05663,122.21,Clothing,0.116,0,1,Credit Card,0
ORD-00000004,CUST-07316,37.02,Electronics,0.202,0,2,PayPal,0
ORD-00000005,CUST-03437,131.86,Clothing,0.132,0,11,PayPal,0
ORD-00000006,CUST-02148,134.9,Electronics,0.143,1,12,Credit Card,0
ORD-00000007,CUST-00932,170.21,Home & Garden,0.197,0,14,Debit Card,0
ORD-00000008,CUST-08628,24.03,Clothing,0.209,0,3,PayPal,0
ORD-00000009,CUST-09949,182.6,Clothing,0.232,0,4,Credit Card,0
ORD-00000010,CUST-07936,70.45,Toys,0.147,1,1,Debit Card,0
ORD-00000011,CUST-00598,72.21,Home & Garden,0.21,1,2,Credit Card,0
ORD-00000012,CUST-05663,202.66,Electronics,0.329,0,3,Credit Card,0
ORD-00000013,CUST-09736,297.36,Toys,0.112,2,4,PayPal,0
ORD-00000014,CUST-08327,82.97,Electronics,0.077,0,20,PayPal,0
ORD-00000015,CUST-00905,50.0,Electronics,0.401,1,16,Debit Card,0
ORD-00000016,CUST-08309,35.94,Home & Garden,0.218,1,2,Debit Card,0
ORD-00000017,CUST-06454,44.52,Electronics,0.22,1,6,Credit Card,0
ORD-00000018,CUST-04505,92.89,Clothing,0.07,0,12,Credit Card,0
ORD-00000019,CUST-06719,51.02,Clothing,0.215,0,2,Credit Card,0
ORD-00000020,CUST-08628,201.59,Electronics,0.15,0,8,Credit Card,0
ORD-00000021,CUST-09160,134.9,Home & Garden,0.109,0,10,Credit Card,0
ORD-00000022,CUST-04912,113.86,Electronics,0.126,1,13,PayPal,0
ORD-00000023,CUST-03834,83.61,Electronics,0.133,0,8,Credit Card,0
ORD-00000024,CUST-05713,61.8,Clothing,0.169,3,9,PayPal,0
ORD-00000025,CUST-09239,50.04,Clothing,0.258,1,24,Debit Card,0
ORD-00000026,CUST-06267,34.16,Clothing,0.265,1,6,Credit Card,0
ORD-00000027,CUST-05854,29.77,Toys,0.047,1,12,PayPal,0
ORD-00000028,CUST-02916,70.96,Clothing,0.152,1,7,Credit Card,0
ORD-00000029,CUST-02469,58.68,Electronics,0.037,0,4,Debit Card,0
ORD-00000030,CUST-09016,99.17,Beauty,0.22,2,7,Debit Card,0
ORD-00000031,CUST-07040,57.58,Clothing,0.251,0,30,Debit Card,0
ORD-00000032,CUST-00336,82.62,Electronics,0.19,0,3,PayPal,0
