order_id,customer_id,order_value,product_category,return_ratio,returns_velocity_30d,days_since_purchase,payment_method,is_fraud
ORD-00000001,CUST-05986,133.94,Clothing,0.141,0,2,Gift Card,1
ORD-00000002,CUST-02664,80.59,Electronics,0.313,0,1,Credit Card,0
ORD-00000003,CUST-00485,151.13,Electronics,0.061,1,16,Credit Card,0
ORD-00000004,CUST-00264,304.42,Electronics,0.08,0,2,Credit Card,0
ORD-00000005,CUST-03276,74.64,Clothing,0.047,0,1,Credit Card,0
ORD-00000006,CUST-03651,74.64,Electronics,0.172,1,7,Debit Card,0
ORD-00000007,CUST-08579,318.42,Clothing,0.235,0,6,Credit Card,0
ORD-00000008,CUST-05947,166.33,Home & Garden,0.066,1,6,Credit Card,0
ORD-00000009,CUST-01090,61.83,Electronics,0.116,1,5,Credit Card,0
ORD-00000010,CUST-02158,138.94,Home & Garden,0.101,2,2,Credit Card,0
ORD-00000011,CUST-09155,62.13,Home & Garden,0.223,0,1,Debit Card,0
ORD-00000012,CUST-02460,62.02,Electronics,0.21,0,1,Credit Card,0
ORD-00000013,CUST-06472,109.24,Home & Garden,0.094,2,21,Credit Card,0
ORD-00000014,CUST-04638,19.48,Home & Garden,0.04,1,6,Credit Card,0
ORD-00000015,CUST-01675,22.65,Clothing,0.048,1,4,Debit Card,0
ORD-00000016,CUST-04344,57.41,Electronics,0.081,0,4,Credit Card,0
ORD-00000017,CUST-05066,40.03,Clothing,0.13,0,8,Gift Card,0
ORD-00000018,CUST-06055,115.75,Beauty,0.06,2,4,Debit Card,0
ORD-00000019,CUST-07550,43.54,Clothing,0.177,0,12,Credit Card,0
ORD-00000020,CUST-06000,29.08,Electronics,0.164,0,3,Debit Card,0
ORD-00000021,CUST-09232,290.77,Clothing,0.387,0,4,Debit Card,0
ORD-00000022,CUST-07727,75.14,Clothing,0.337,1,20,Debit Card,0
ORD-00000023,CUST-05287,95.01,Clothing,0.471,1,3,Credit Card,0
ORD-00000024,CUST-07656,28.79,Home & Garden,0.176,1,8,Gift Card,0
ORD-00000025,CUST-01955,58.24,Clothing,0.161,0,4,Credit Card,0
ORD-00000026,CUST-06591,98.37,Home & Garden,0.063,1,5,Credit Card,0
ORD-00000027,CUST-06361,35.85,Home & Garden,0.274,0,1,Credit Card,0
ORD-00000028,CUST-04972,121.58,Clothing,0.081,1,2,Credit Card,0
ORD-00000029,CUST-05809,55.67,Electronics,0.087,0,1,Credit Card,0
ORD-00000030,CUST-00147,71.28,Home & Garden,0.279,2,14,Debit Card,0
ORD-00000031,CUST-09202,55.63,Beauty,0.212,1,23,Credit Card,0
ORD-00000032,CUST-08417,396.16,Electronics,0.075,0,1,Debit Card,0
ORD-00000033,CUST-04156,89.05,Clothing,0.081,0,1,Credit Card,0
ORD-00000034,CUST-06150,38.62,Electronics,0.101,1,6,Credit Card,0
ORD-00000035,CUST-02726,173.82,Home & Garden,0.158,0,5,Credit Card,0
ORD-00000036,CUST-01817,33.9,Home & Garden,0.21,0,8,Debit Card,0
ORD-00000037,CUST-05022,106.39,Electronics,0.28,1,10,Credit Card,0
ORD-00000038,CUST-05308,18.77,Beauty,0.133,0,12,Debit Card,0
ORD-00000039,CUST-03128,31.11,Electronics,0.131,0,2,PayPal,0
ORD-00000040,CUST-05387,105.37,Home & Garden,0.213,0,1,Credit Card,0
ORD-00000041,CUST-08217,162.52,Clothing,0.154,0,16,Credit Card,0
ORD-00000042,CUST-06840,103.24,Clothing,0.054,1,5,Credit Card,0
ORD-00000043,CUST-09191,82.06,Electronics,0.304,0,25,Credit Card,0
ORD-00000044,CUST-05848,70.75,Electronics,0.125,0,6,Credit Card,0
ORD-00000045,CUST-02329,27.58,Clothing,0.071,1,5,Credit Card,0
ORD-00000046,CUST-05616,50.61,Clothing,0.117,0,7,Debit Card,0
ORD-00000047,CUST-05638,62.27,Electronics,0.247,2,2,Credit Card,0
ORD-00000048,CUST-06746,209.7,Electronics,0.07,0,3,Debit Card,0
ORD-00000049,CUST-02327,118.5,Electronics,0.321,0,17,Debit Card,0
ORD-00000050,CUST-04434,21.97,Home & Garden,0.187,0,2,PayPal,0
ORD-00000051,CUST-03831,116.66,Home & Garden,0.221,0,2,PayPal,0
ORD-00000052,CUST-06689,66.15,Electronics,0.213,0,5,Credit Card,0
ORD-00000053,CUST-09402,52.38,Clothing,0.066,0,8,Debit Card,0
ORD-00000054,CUST-05892,146.84,Electronics,0.162,0,1,Credit Card,0
ORD-00000055,CUST-08298,205.37,Beauty,0.052,1,5,Debit Card,0
ORD-00000056,CUST-03631,189.62,Beauty,0.232,1,4,Credit Card,1
ORD-00000057,CUST-05629,46.0,Clothing,0.105,2,15,Gift Card,0
ORD-00000058,CUST-01300,70.29,Beauty,0.11,1,13,PayPal,0
ORD-00000059,CUST-01116,117.33,Home & Garden,0.057,2,17,PayPal,0
ORD-00000060,CUST-03941,196.46,Home & Garden,0.131,1,13,Credit Card,0
ORD-00000061,CUST-09648,61.35,Clothing,0.187,0,11,Credit Card,0
ORD-00000062,CUST-00586,77.59,Clothing,0.052,0,14,Credit Card,0
ORD-00000063,CUST-08191,37.15,Electronics,0.064,0,2,PayPal,0
ORD-00000064,CUST-04976,34.57,Clothing,0.173,0,3,PayPal,0
ORD-00000065,CUST-08879,172.44,Clothing,0.013,0,9,Credit Card,0
ORD-00000066,CUST-02324,266.4,Electronics,0.025,0,18,Credit Card,0
ORD-00000067,CUST-00781,84.98,Electronics,0.078,1,8,Credit Card,0
ORD-00000068,CUST-03410,200.9,Clothing,0.169,1,2,Debit Card,0
ORD-00000069,CUST-04593,120.22,Electronics,0.209,0,21,Credit Card,0
ORD-00000070,CUST-09560,53.73,Clothing,0.19,0,10,Credit Card,0
ORD-00000071,CUST-01680,120.2,Beauty,0.196,0,9,Credit Card,0
ORD-00000072,CUST-08124,308.1,Home & Garden,0.2,1,11,Credit Card,0
ORD-00000073,CUST-02941,87.47,Clothing,0.094,0,8,PayPal,0
ORD-00000074,CUST-01054,314.73,Clothing,0.137,1,1,Debit Card,0
ORD-00000075,CUST-04180,11.07,Clothing,0.158,0,3,Debit Card,0
ORD-00000076,CUST-04952,173.73,Electronics,0.225,0,22,PayPal,0
ORD-00000077,CUST-03635,96.51,Beauty,0.022,1,3,Credit Card,0
ORD-00000078,CUST-06513,70.87,Electronics,0.127,1,11,Credit Card,0
ORD-00000079,CUST-00250,96.87,Electronics,0.197,0,4,Credit Card,0
ORD-00000080,CUST-03713,18.36,Home & Garden,0.075,0,17,Credit Card,0
ORD-00000081,CUST-04646,75.51,Electronics,0.077,0,6,Debit Card,0
ORD-00000082,CUST-00942,119.78,Clothing,0.065,0,7,PayPal,0
ORD-00000083,CUST-05464,293.63,Electronics,0.339,0,2,Debit Card,0
ORD-00000084,CUST-06209,59.46,Electronics,0.07,0,1,Credit Card,0
ORD-00000085,CUST-09616,47.14,Electronics,0.102,1,10,Credit Card,0
ORD-00000086,CUST-07225,60.26,Electronics,0.129,0,1,Credit Card,0
ORD-00000087,CUST-03699,187.23,Clothing,0.06,0,9,Credit Card,0
ORD-00000088,CUST-06603,117.1,Home & Garden,0.149,0,6,Credit Card,0
ORD-00000089,CUST-07073,58.92,Clothing,0.121,1,13,Credit Card,0
ORD-00000090,CUST-00847,135.72,Beauty,0.385,0,2,Credit Card,0
ORD-00000091,CUST-04671,97.29,Electronics,0.084,1,6,Debit Card,0
